Y 	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
517.06	9.233	1.13	0	7	16	4	0.067	4	0	12	2	!!!	39.3	3.6	7.1
504.06	9.001	1.129	0	8	16	4	0.068	4	0	12	1	0.063	39.3	1.8	7.1
490.03	9.246	1.128	0	8	16	3	0.054	4	0	12	1	0.074	39.6	1.9	7.5
1443.08	6.414	1.146	0	!!!	20	42	0.187	sds	0	6	qwe	0.069	wqew	^^^^	7.6
517.06	9.233	1.13	0	7	16	4	0.067	4	0	12	2	$$$	39.3	3.6	7.1
514.57	8.3	1.127	0	7	23	5	0.076	5	0	18	4	0.095	46.8	6.5	4.8
518.09	8.781	1.129	0	8	16	5	!!!	4	0	12	1	0.056	39	1.7	6.8
531.09	9.002	1.13	0	7	16	4	0.063	4	0	#@@^	2	0.067	39	3.4	6.8
516.59	8.072	1.129	0	7	22	5	0.074	4	0	18	4	0.104	45.3	6.3	4.7
505.05	9.183	1.132	0	8	16	4	0.069	4	0	12	2	NA	38.2	3.6	7.3
519.08	8.95	1.133	0	9	16	4	$$$	4	0	12	2	0.092	37.9	3.4	6.9
490.55	8.176	1.131	0	8	22	6	0.095	4	0	18	4	^8&^%$	45	6.7	5
551.66	8.113	1.161	0	8	9	4	0.056	3	0	6	3	2	36.8	4.4	2.9
503.07	8.826	1.125	0	8	16	4	0.067	4	0	12	0	4	40.4	0	7
521.56	8.279	1.13	0	6	21	7	0.104	3	0	18	3	5	44.4	4.8	7.9
491.02	9.443	1.132	0	8	16	3	NA	4	0	12	2	4	38.5	3.8	7.7
493.14	8.084	1.118	0	3	14	6	0.092	3	0	11	2	3	39.3	3.3	4.9
493.14	8.084	1.118	0	3	14	6	^8&^%$	3	0	11	2	65!888	39.3	3.3	4.9
519.08	8.95	1.133	0	8	16	5	0.082	4	0	12	2	4	37.9	3.4	6.9
515.55	8.452	1.124	0	7	23	5	0.077	5	0	18	3	!1!	47.5	4.9	6.6
533.11	8.74	1.133	0	10	16	4	0.062	4	0	NA	2	4	37.7	3.3	6.6
477.5	8.527	1.128	0	5	21	5	0.083	3	0	18	3	4	46.4	5.4	7.1
548.59	8.312	1.132	0	7	22	7	QQQQ	4	0	18	4	5	43.9	6.1	7.6
511.72	7.207	1.145	0	6	9	5	0.067	3	0	6	3	2	36.6	4.2	2.8
515.6	@	1.126	0	7	@	sASa	0.072	4	0	18	qyte	3	46.2	4.6	!!!
